raw_log,timestamp,user_id,transaction_type,amount,currency,location,device,is_parsed,parse_errors,amount_raw,hour,day_of_week,is_weekend
2025-07-05 19:18:10::user1069::withdrawal::2995.12::London::iPhone 13,2025-07-05 19:18:10,user1069,withdrawal,2995.12,£,London,iPhone 13,True,,2995.12,19,5,True
usr:user1076|cashout|€4821.85|Glasgow|2025-07-15 12:56:05|Pixel 6,2025-07-15 12:56:05,user1076,cashout,4195.01,€,Glasgow,Pixel 6,True,,4821.85,12,1,False
2025-07-20 05:38:14 >> [user1034] did top-up - amt=€2191.06 - None // dev:iPhone 13,2025-07-20 05:38:14,user1034,top,1906.22,€,None,iPhone 13,True,,2191.06,5,6,True
2025-06-13 10:04:51 >> [user1068] did deposit - amt=€1691.09 - Glasgow // dev:None,2025-06-13 10:04:51,user1068,deposit,1471.25,€,Glasgow,,True,,1691.09,10,4,False
2025-07-29 23:47:37 | user: user1014 | txn: deposit of £3539.5 from Glasgow | device: iPhone 13,2025-07-29 23:47:37,user1014,deposit,3539.5,£,Glasgow,iPhone 13,True,,3539.5,23,1,False
2025-06-23 14:45:58 - user=user1075 - action=debit $1215.74 - ATM: Leeds - device=Samsung Galaxy S10,2025-06-23 14:45:58,user1075,debit,911.81,$,Leeds,Samsung Galaxy S10,True,,1215.74,14,0,False
2025-07-31 06:50:50 | user: user1071 | txn: cashout of $1772.13 from None | device: Nokia 3310,2025-07-31 06:50:50,user1071,cashout,1329.1,$,,Nokia 3310,True,,1772.13,6,3,False
2025-07-07 20:42:12 - user=user1098 - action=deposit €304.0 - ATM: Birmingham - device=Nokia 3310,2025-07-07 20:42:12,user1098,deposit,264.48,€,Birmingham,Nokia 3310,True,,304.0,20,0,False
24/07/2025 22:47:06 ::: user1080 *** PURCHASE ::: amt:951.85$ @ Liverpool <Xiaomi Mi 11>,2025-07-24 22:47:06,user1080,purchase,951.85,£,Liverpool,Xiaomi Mi 11,True,,951.85,22,3,False
2025-06-10 20:06:30 >> [user1025] did withdrawal - amt=€3261.07 - London // dev:iPhone 13,2025-06-10 20:06:30,user1025,withdrawal,2837.13,€,London,iPhone 13,True,,3261.07,20,1,False
14/06/2025 07:25:39 ::: user1019 *** CASHOUT ::: amt:2428.72£ @ Leeds <iPhone 13>,2025-06-14 07:25:39,user1019,cashout,2428.72,£,Leeds,iPhone 13,True,,2428.72,7,5,True
user1093 2025-07-05 14:11:06 withdrawal 4926.56 None Huawei P30,2025-07-05 14:11:06,user1093,withdrawal,4926.56,,,Huawei,True,,4926.56,14,5,True
2025-07-05 06:12:48 - user=user1043 - action=withdrawal £4803.93 - ATM: Liverpool - device=iPhone 13,2025-07-05 06:12:48,user1043,withdrawal,4803.93,£,Liverpool,iPhone 13,True,,4803.93,6,5,True
2025-07-23 15:57:12 | user: user1098 | txn: purchase of €2019.47 from Glasgow | device: None,2025-07-23 15:57:12,user1098,purchase,1756.94,€,Glasgow,None,True,,2019.47,15,2,False
2025-06-23 10:05:51 >> [user1048] did deposit - amt=€2096.71 - Birmingham // dev:Huawei P30,2025-06-23 10:05:51,user1048,deposit,1824.14,€,Birmingham,Huawei P30,True,,2096.71,10,0,False
usr:user1034|top-up|$1194.19|Liverpool|2025-06-24 05:06:27|Pixel 6,2025-06-24 05:06:27,user1034,top-up,895.64,$,Liverpool,Pixel 6,True,,1194.19,5,1,False
2025-06-25 07:18:59 - user=user1008 - action=top-up £4645.16 - ATM: London - device=Xiaomi Mi 11,2025-06-25 07:18:59,user1008,top-up,4645.16,£,London,Xiaomi Mi 11,True,,4645.16,7,2,False
2025-07-17 23:05:52 >> [user1011] did purchase - amt=£2529.92 - Birmingham // dev:iPhone 13,2025-07-17 23:05:52,user1011,purchase,2529.92,£,Birmingham,iPhone 13,True,,2529.92,23,3,False
2025-06-22 21:50:40 - user=user1003 - action=refund £4658.85 - ATM: Liverpool - device=Huawei P30,2025-06-22 21:50:40,user1003,refund,4658.85,£,Liverpool,Huawei P30,True,,4658.85,21,6,True
2025-07-04 02:49:11::user1083::transfer::1362.47::Glasgow::Pixel 6,2025-07-04 02:49:11,user1083,transfer,1362.47,£,Glasgow,Pixel 6,True,,1362.47,2,4,False
user1077 2025-06-26 03:04:52 refund 2527.54 London iPhone 13,2025-06-26 03:04:52,user1077,refund,2527.54,£,London,iPhone,True,,2527.54,3,3,False
04/07/2025 01:08:12 ::: user1046 *** CASHOUT ::: amt:2804.97£ @ Manchester <Pixel 6>,2025-07-04 01:08:12,user1046,cashout,2804.97,£,Manchester,Pixel 6,True,,2804.97,1,4,False
09/06/2025 22:58:25 ::: user1074 *** WITHDRAWAL ::: amt:4173.14€ @ Liverpool <Xiaomi Mi 11>,2025-06-09 22:58:25,user1074,withdrawal,4173.14,£,Liverpool,Xiaomi Mi 11,True,,4173.14,22,0,False
2025-07-08 14:07:36 >> [user1086] did refund - amt=£1823.89 - Birmingham // dev:Samsung Galaxy S10,2025-07-08 14:07:36,user1086,refund,1823.89,£,Birmingham,Samsung Galaxy S10,True,,1823.89,14,1,False
30/07/2025 04:54:02 ::: user1096 *** DEPOSIT ::: amt:1769.04€ @ Leeds <None>,2025-07-30 04:54:02,user1096,deposit,1769.04,£,Leeds,,True,,1769.04,4,2,False
02/07/2025 12:28:08 ::: user1010 *** TRANSFER ::: amt:4881.05£ @ Leeds <iPhone 13>,2025-07-02 12:28:08,user1010,transfer,4881.05,£,Leeds,iPhone 13,True,,4881.05,12,2,False
07/07/2025 12:07:08 ::: user1013 *** TOP-UP ::: amt:3912.15$ @ Glasgow <Huawei P30>,2025-07-07 12:07:08,user1013,top,3912.15,£,Glasgow,Huawei P30,True,,3912.15,12,0,False
2025-07-24 02:04:16 >> [user1058] did deposit - amt=£1913.33 - None // dev:Samsung Galaxy S10,2025-07-24 02:04:16,user1058,deposit,1913.33,£,None,Samsung Galaxy S10,True,,1913.33,2,3,False
2025-06-18 16:36:00 >> [user1008] did top-up - amt=£1526.65 - Glasgow // dev:iPhone 13,2025-06-18 16:36:00,user1008,top,1526.65,£,Glasgow,iPhone 13,True,,1526.65,16,2,False
usr:user1034|top-up|£4696.25|Cardiff|2025-06-25 07:41:42|Samsung Galaxy S10,2025-06-25 07:41:42,user1034,top-up,4696.25,£,Cardiff,Samsung Galaxy S10,True,,4696.25,7,2,False
user1069 2025-07-27 06:27:32 cashout 4497.62 Cardiff iPhone 13,2025-07-27 06:27:32,user1069,cashout,4497.62,£,Cardiff,iPhone,True,,4497.62,6,6,True
2025-07-05 11:01:54::user1081::purchase::1821.74::Birmingham::None,2025-07-05 11:01:54,user1081,purchase,1821.74,£,Birmingham,,True,,1821.74,11,5,True
user1068 2025-06-19 05:02:27 deposit 3599.05 Cardiff Pixel 6,2025-06-19 05:02:27,user1068,deposit,3599.05,£,Cardiff,Pixel,True,,3599.05,5,3,False
user1020 2025-07-30 02:28:05 cashout 3486.34 Liverpool Samsung Galaxy S10,2025-07-30 02:28:05,user1020,cashout,3486.34,£,Liverpool,Samsung,True,,3486.34,2,2,False
2025-06-09 04:52:32 - user=user1004 - action=purchase €2556.36 - ATM: Liverpool - device=Pixel 6,2025-06-09 04:52:32,user1004,purchase,2224.03,€,Liverpool,Pixel 6,True,,2556.36,4,0,False
2025-06-06 23:20:13 >> [user1029] did top-up - amt=£467.84 - Cardiff // dev:Samsung Galaxy S10,2025-06-06 23:20:13,user1029,top,467.84,£,Cardiff,Samsung Galaxy S10,True,,467.84,23,4,False
user1020 2025-07-28 17:58:48 withdrawal 232.02 Manchester Xiaomi Mi 11,2025-07-28 17:58:48,user1020,withdrawal,232.02,£,Manchester,Xiaomi,True,,232.02,17,0,False
2025-06-22 11:35:36 >> [user1067] did purchase - amt=$3592.01 - None // dev:Xiaomi Mi 11,2025-06-22 11:35:36,user1067,purchase,2694.01,$,None,Xiaomi Mi 11,True,,3592.01,11,6,True
13/06/2025 09:48:03 ::: user1020 *** WITHDRAWAL ::: amt:4463.41£ @ Leeds <Samsung Galaxy S10>,2025-06-13 09:48:03,user1020,withdrawal,4463.41,£,Leeds,Samsung Galaxy S10,True,,4463.41,9,4,False
29/06/2025 10:46:54 ::: user1020 *** DEBIT ::: amt:252.04£ @ Manchester <Xiaomi Mi 11>,2025-06-29 10:46:54,user1020,debit,252.04,£,Manchester,Xiaomi Mi 11,True,,252.04,10,6,True
2025-07-17 19:56:26 >> [user1040] did transfer - amt=$3718.53 - None // dev:Huawei P30,2025-07-17 19:56:26,user1040,transfer,2788.9,$,None,Huawei P30,True,,3718.53,19,3,False
2025-06-14 11:55:14 >> [user1070] did refund - amt=€3829.3 - None // dev:Pixel 6,2025-06-14 11:55:14,user1070,refund,3331.49,€,None,Pixel 6,True,,3829.3,11,5,True
2025-06-10 09:06:24::user1005::debit::388.34::Glasgow::Huawei P30,2025-06-10 09:06:24,user1005,debit,388.34,£,Glasgow,Huawei P30,True,,388.34,9,1,False
09/06/2025 15:02:04 ::: user1081 *** DEPOSIT ::: amt:692.73£ @ Leeds <Pixel 6>,2025-06-09 15:02:04,user1081,deposit,692.73,£,Leeds,Pixel 6,True,,692.73,15,0,False
2025-07-21 17:14:37 | user: user1028 | txn: withdrawal of $1034.97 from Leeds | device: Nokia 3310,2025-07-21 17:14:37,user1028,withdrawal,776.23,$,Leeds,Nokia 3310,True,,1034.97,17,0,False
user1019 2025-06-16 11:31:33 cashout 2385.42 Cardiff Nokia 3310,2025-06-16 11:31:33,user1019,cashout,2385.42,£,Cardiff,Nokia,True,,2385.42,11,0,False
2025-07-19 10:03:15 | user: user1087 | txn: purchase of $2441.66 from Leeds | device: Xiaomi Mi 11,2025-07-19 10:03:15,user1087,purchase,1831.24,$,Leeds,Xiaomi Mi 11,True,,2441.66,10,5,True
user1057 2025-06-02 23:51:41 withdrawal 4534.74 London iPhone 13,2025-06-02 23:51:41,user1057,withdrawal,4534.74,£,London,iPhone,True,,4534.74,23,0,False
2025-07-27 07:41:21 >> [user1035] did debit - amt=$909.46 - Leeds // dev:Huawei P30,2025-07-27 07:41:21,user1035,debit,682.1,$,Leeds,Huawei P30,True,,909.46,7,6,True
user1034 2025-06-23 08:15:41 top-up 1688.17 Cardiff Nokia 3310,2025-06-23 08:15:41,user1034,top-up,1688.17,£,Cardiff,Nokia,True,,1688.17,8,0,False
2025-06-15 06:31:04 >> [user1079] did deposit - amt=€2352.06 - London // dev:Huawei P30,2025-06-15 06:31:04,user1079,deposit,2046.29,€,London,Huawei P30,True,,2352.06,6,6,True
2025-07-28 20:56:17 | user: user1092 | txn: deposit of €3906.38 from London | device: Nokia 3310,2025-07-28 20:56:17,user1092,deposit,3398.55,€,London,Nokia 3310,True,,3906.38,20,0,False
03/07/2025 08:35:22 ::: user1080 *** PURCHASE ::: amt:4196.31€ @ Liverpool <Samsung Galaxy S10>,2025-07-03 08:35:22,user1080,purchase,4196.31,£,Liverpool,Samsung Galaxy S10,True,,4196.31,8,3,False
usr:user1040|deposit|£2820.28|None|2025-07-28 01:03:02|Pixel 6,2025-07-28 01:03:02,user1040,deposit,2820.28,£,,Pixel 6,True,,2820.28,1,0,False
15/07/2025 14:46:08 ::: user1047 *** TOP-UP ::: amt:839.78€ @ Manchester <Nokia 3310>,2025-07-15 14:46:08,user1047,top,839.78,£,Manchester,Nokia 3310,True,,839.78,14,1,False
2025-06-14 12:27:03 >> [user1035] did deposit - amt=$2893.84 - Leeds // dev:Xiaomi Mi 11,2025-06-14 12:27:03,user1035,deposit,2170.38,$,Leeds,Xiaomi Mi 11,True,,2893.84,12,5,True
2025-06-21 18:04:39 | user: user1027 | txn: purchase of $510.4 from Manchester | device: Nokia 3310,2025-06-21 18:04:39,user1027,purchase,382.8,$,Manchester,Nokia 3310,True,,510.4,18,5,True
user1034 2025-07-21 10:27:07 cashout 3307.95 Birmingham iPhone 13,2025-07-21 10:27:07,user1034,cashout,3307.95,£,Birmingham,iPhone,True,,3307.95,10,0,False
25/07/2025 20:53:01 ::: user1050 *** DEPOSIT ::: amt:2168.18$ @ None <Pixel 6>,2025-07-25 20:53:01,user1050,deposit,2168.18,,,Pixel 6,True,,2168.18,20,4,False
2025-06-02 11:09:34 >> [user1020] did debit - amt=€2324.9 - Cardiff // dev:Huawei P30,2025-06-02 11:09:34,user1020,debit,2022.66,€,Cardiff,Huawei P30,True,,2324.9,11,0,False
user1077 2025-07-20 01:34:56 refund 4408.27 None None,2025-07-20 01:34:56,user1077,refund,4408.27,,,,True,,4408.27,1,6,True
2025-06-16 04:22:52 >> [user1026] did withdrawal - amt=$2472.04 - Liverpool // dev:Xiaomi Mi 11,2025-06-16 04:22:52,user1026,withdrawal,1854.03,$,Liverpool,Xiaomi Mi 11,True,,2472.04,4,0,False
2025-07-21 12:27:25 | user: user1087 | txn: refund of €1702.35 from Cardiff | device: None,2025-07-21 12:27:25,user1087,refund,1481.04,€,Cardiff,None,True,,1702.35,12,0,False
2025-06-19 19:01:52 | user: user1025 | txn: purchase of €3453.36 from None | device: Xiaomi Mi 11,2025-06-19 19:01:52,user1025,purchase,3004.42,€,,Xiaomi Mi 11,True,,3453.36,19,3,False
2025-06-01 15:06:05::user1003::refund::1108.76::Glasgow::Huawei P30,2025-06-01 15:06:05,user1003,refund,1108.76,£,Glasgow,Huawei P30,True,,1108.76,15,6,True
2025-07-02 20:47:24 - user=user1008 - action=refund £1257.77 - ATM: Glasgow - device=Huawei P30,2025-07-02 20:47:24,user1008,refund,1257.77,£,Glasgow,Huawei P30,True,,1257.77,20,2,False
2025-07-27 15:51:02::user1020::refund::4902.57::Cardiff::Samsung Galaxy S10,2025-07-27 15:51:02,user1020,refund,4902.57,£,Cardiff,Samsung Galaxy S10,True,,4902.57,15,6,True
2025-06-14 02:56:06 | user: user1043 | txn: refund of €71.73 from Liverpool | device: Huawei P30,2025-06-14 02:56:06,user1043,refund,62.41,€,Liverpool,Huawei P30,True,,71.73,2,5,True
2025-06-13 01:12:45 | user: user1011 | txn: refund of £3487.39 from None | device: iPhone 13,2025-06-13 01:12:45,user1011,refund,3487.39,£,,iPhone 13,True,,3487.39,1,4,False
2025-06-12 22:14:14 | user: user1011 | txn: refund of $2347.52 from Birmingham | device: Samsung Galaxy S10,2025-06-12 22:14:14,user1011,refund,1760.64,$,Birmingham,Samsung Galaxy S10,True,,2347.52,22,3,False
2025-06-05 23:34:40 - user=user1079 - action=debit £571.32 - ATM: Leeds - device=Xiaomi Mi 11,2025-06-05 23:34:40,user1079,debit,571.32,£,Leeds,Xiaomi Mi 11,True,,571.32,23,3,False
2025-07-03 21:57:11 >> [user1096] did withdrawal - amt=€759.48 - Cardiff // dev:iPhone 13,2025-07-03 21:57:11,user1096,withdrawal,660.75,€,Cardiff,iPhone 13,True,,759.48,21,3,False
2025-07-02 08:20:16 | user: user1093 | txn: debit of $4542.61 from Leeds | device: Huawei P30,2025-07-02 08:20:16,user1093,debit,3406.96,$,Leeds,Huawei P30,True,,4542.61,8,2,False
2025-06-27 01:59:00 - user=user1008 - action=deposit £4738.0 - ATM: Glasgow - device=Huawei P30,2025-06-27 01:59:00,user1008,deposit,4738.0,£,Glasgow,Huawei P30,True,,4738.0,1,4,False
user1043 2025-07-12 08:29:59 purchase 869.89 Liverpool iPhone 13,2025-07-12 08:29:59,user1043,purchase,869.89,£,Liverpool,iPhone,True,,869.89,8,5,True
usr:user1051|debit|£1457.01|Cardiff|2025-06-13 14:42:29|Pixel 6,2025-06-13 14:42:29,user1051,debit,1457.01,£,Cardiff,Pixel 6,True,,1457.01,14,4,False
2025-07-06 22:31:14 >> [user1058] did debit - amt=£356.83 - Cardiff // dev:Nokia 3310,2025-07-06 22:31:14,user1058,debit,356.83,£,Cardiff,Nokia 3310,True,,356.83,22,6,True
